Track name	Track link	User name	User link	Play count	Duration
Zara Larsson & MNEK - Never Forget You (Axl Remix)	https://soundcloud.com/axl-123/zara-larsson-mnek-never-forget-you-axl-remix?in=eliana-cogine/sets/musicas-relaxantes	Axl	https://soundcloud.com/axl-123	14.5M	3:03
Wonderful Ft.The Weeknd	https://soundcloud.com/travisscott-2/wonderful-ftthe-weeknd?in=eliana-cogine/sets/musicas-relaxantes	Travis Scott	https://soundcloud.com/travisscott-2	136M	3:37
Never Be Like You feat. Kai	https://soundcloud.com/flume/never-be-like-you-feat-kai?in=eliana-cogine/sets/musicas-relaxantes	Flume	https://soundcloud.com/flume	63.7M	3:55
Freedom Come All Ye	https://soundcloud.com/simonthoumire/freedom-come-all-ye?in=eliana-cogine/sets/musicas-relaxantes	simonthoumire	https://soundcloud.com/simonthoumire	1.15M	2:59
You Go Left, I Go Right	https://soundcloud.com/andiyoungmusic/yougoleftigoright?in=eliana-cogine/sets/musicas-relaxantes	Andi Young	https://soundcloud.com/andiyoungmusic	3.44M	4:50
Novo Amor - Anchor	https://soundcloud.com/mrsuicidesheep/novo-amor-anchor?in=eliana-cogine/sets/musicas-relaxantes	MrSuicideSheep	https://soundcloud.com/mrsuicidesheep	32.5M	4:16
Brave	https://soundcloud.com/rileypearcemusic/brave?in=eliana-cogine/sets/musicas-relaxantes	Riley Pearce Music	https://soundcloud.com/rileypearcemusic	8.73M	4:07
lift	https://soundcloud.com/thasoulprovider/lift?in=yeonkkot/sets/s12	noel s	https://soundcloud.com/thasoulprovider	920K	4:27
Midnight Walk	https://soundcloud.com/richardgriffith/midnight-walk?in=yeonkkot/sets/s12	Richard Griffith	https://soundcloud.com/richardgriffith	2.42M	2:00
Gorila - Akaido	https://soundcloud.com/chillhopdotcom/gorila-akaido?in=yeonkkot/sets/s12	Chillhop Music	https://soundcloud.com/chillhopdotcom	1.47M	3:12
Partly Sunny	https://soundcloud.com/joeypecoraro/partly-sunny?in=yeonkkot/sets/s12	Joey Pecoraro	https://soundcloud.com/joeypecoraro	1.02M	3:05
Tom Misch & Carmody - Paper Planes	https://soundcloud.com/tommisch/tom-misch-carmody-paper-planes?in=yeonkkot/sets/s12	Tom Misch	https://soundcloud.com/tommisch	865K	3:19
Woman	https://soundcloud.com/hellohonne/woman?in=yeonkkot/sets/s12	HONNE	https://soundcloud.com/hellohonne	2.08M	4:25
fell in love in a dream	https://soundcloud.com/kuplasound/fell-in-love-in-a-dream?in=yeonkkot/sets/s12	Kupla	https://soundcloud.com/kuplasound	795K	2:23
Gagle - Love Note (Original Instrumental)	https://soundcloud.com/nino-kakhidze/gagle-love-note-original-instrumental?in=yeonkkot/sets/s12	Nino0071	https://soundcloud.com/nino-kakhidze	169K	4:21
Amy Winehouse - Rehab (Tom Misch Remix)	https://soundcloud.com/tommisch/amy-winehouse-rehab-tom-misch-remix?in=yeonkkot/sets/s12	Tom Misch	https://soundcloud.com/tommisch	2.55M	4:27
Fumes (feat. gnash)	https://soundcloud.com/iameden/fumes?in=yeonkkot/sets/s12	EDEN	https://soundcloud.com/iameden	8.77M	3:34
Dawsons Heights	https://soundcloud.com/tommisch/dawsons-hights?in=yeonkkot/sets/s12	Tom Misch	https://soundcloud.com/tommisch	574K	4:20
Her (feat. a l e x)	https://soundcloud.com/kendallmilesmusic/her_kendall?in=yeonkkot/sets/s12	Kendall Miles	https://soundcloud.com/kendallmilesmusic	2.52M	2:46
White Winds	https://soundcloud.com/lewis-the-funky-hip-fellow/white-winds?in=yeonkkot/sets/s12	Lazy Lewis	https://soundcloud.com/lewis-the-funky-hip-fellow	173K	2:28
under the trees	https://soundcloud.com/iamjsan/under-the-trees?in=yeonkkot/sets/s12	j'san.	https://soundcloud.com/iamjsan	223K	1:51
Chucho (Paquito D'Rivera)	https://soundcloud.com/jaiza-trio/chucho-paquito-drivera?in=yeonkkot/sets/s12	Jaiza Trio	https://soundcloud.com/jaiza-trio	197K	3:19
girl i want/girl i need [rough]	https://soundcloud.com/nickwardmusic/girl-i-need?in=yourparadis/sets/jazzhip7c	Nick Ward	https://soundcloud.com/nickwardmusic	None	4:25
when you're near	https://soundcloud.com/qianhui-sun-274160437/when-youre-near?in=yourparadis/sets/jazzhip7c	qianhui sun	https://soundcloud.com/qianhui-sun-274160437	2.94M	2:00
본 보야지 (Bon Voyaze) - 어른 (Prod. hentaidesu)	https://soundcloud.com/bon_voyaze/bon-voyaze-prod-hentaidesu?in=yourparadis/sets/jazzhip7c	본 보야지 (Bon Voyaze)	https://soundcloud.com/bon_voyaze	1.94M	3:13
&nbsp;	https://soundcloud.com/1207domo/nbsp?in=yourparadis/sets/jazzhip7c	domo	https://soundcloud.com/1207domo	1.75M	2:52
IT HAD TO BE YOU	https://soundcloud.com/lucia-goti/it-had-to-be-you?in=yourparadis/sets/jazzhip7c	Lucia Goti	https://soundcloud.com/lucia-goti	1.56M	3:30
Sealab 2012 - High	https://soundcloud.com/yueunseo/sealab-2012-high-2?in=yourparadis/sets/jazzhip7c	zer0	https://soundcloud.com/yueunseo	1.53M	2:23
☀️️ - ghostcheddar	https://soundcloud.com/o-nei-ric-tapes/ghostcheddar?in=yourparadis/sets/jazzhip7c	o-nei-ric Tapes	https://soundcloud.com/o-nei-ric-tapes	1.06M	0:38
Luvproof Guitar Edit.	https://soundcloud.com/vinternoon/luvproof-guitar-edit?in=yourparadis/sets/jazzhip7c	vinternoon	https://soundcloud.com/vinternoon	1.07M	2:11
Baking Chet	https://soundcloud.com/nuoyah/baking-chet?in=yourparadis/sets/jazzhip7c	nuoyah	https://soundcloud.com/nuoyah	998K	2:39
serenade to chicha (rough)	https://soundcloud.com/kenny_the_king/serenade-to-chicha-rough?in=yourparadis/sets/jazzhip7c	kennytheking	https://soundcloud.com/kenny_the_king	1.08M	2:14
august,	https://soundcloud.com/amebaa/august?in=yourparadis/sets/jazzhip7c	ameba.	https://soundcloud.com/amebaa	1.07M	1:54
Future James - Pure Imagination	https://soundcloud.com/yueunseo/future-james-pure-imagination?in=yourparadis/sets/jazzhip7c	zer0	https://soundcloud.com/yueunseo	1.25M	4:31
h e r s m i l e	https://soundcloud.com/visionofmists/h-e-r-s-m-i-l-e?in=yourparadis/sets/jazzhip7c	mst	https://soundcloud.com/visionofmists	974K	2:09
Warmy	https://soundcloud.com/somarbeats/warmy?in=yourparadis/sets/jazzhip7c	Somar	https://soundcloud.com/somarbeats		2:32
growatnight	https://soundcloud.com/itsampoff/grow-at-nght?in=yourparadis/sets/jazzhip7c	Ampoff	https://soundcloud.com/itsampoff	810K	2:29
Pal	https://soundcloud.com/soulitunehere/pal?in=yourparadis/sets/jazzhip7c	Soulitune	https://soundcloud.com/soulitunehere	891K	2:28
Don't Worry	https://soundcloud.com/didi_cat/dont-worry?in=yourparadis/sets/jazzhip7c	DIDI_CAT	https://soundcloud.com/didi_cat	670K	2:19
MUGiQ - Nothing`s Gonna Change (Feat. Midnight Coaster)	https://soundcloud.com/midnightcoaster/mugiq-nothings-gonna-change-feat-midnight-coaster?in=yourparadis/sets/jazzhip7c	midnightcoaster	https://soundcloud.com/midnightcoaster	697K	3:02
Alone (Album Sampler)	https://soundcloud.com/iwamizu/alone?in=yourparadis/sets/jazzhip7c	iwamizu	https://soundcloud.com/iwamizu	847K	10:00
Your Lies (Feat. Elaine)	https://soundcloud.com/noisesymphony/your-lies-feat-elaine?in=yourparadis/sets/jazzhip7c	MasterClass	https://soundcloud.com/noisesymphony	641K	3:48
Spire ft. Rakita - Webs	https://soundcloud.com/user-347760868/spire-ft-rakita-webs?in=yourparadis/sets/jazzhip7c	Lili & Dylan	https://soundcloud.com/user-347760868	560K	4:00
lonely nights (feat. fawn)	https://soundcloud.com/cierim/lonely-nights-feat-fawn?in=yourparadis/sets/jazzhip7c	Michael Cieri	https://soundcloud.com/cierim	538K	2:28
KISS THE MOON (Lofi Ver)	https://soundcloud.com/wonkyu-jang/sweetch-kiss-the-moon-lofi-ver?in=yourparadis/sets/jazzhip7c	SWEETCH	https://soundcloud.com/wonkyu-jang	457K	3:08
passing time	https://soundcloud.com/jdnhnt/passing-time?in=yourparadis/sets/jazzhip7c	❀jdnhnt❀	https://soundcloud.com/jdnhnt	501K	3:02
expectations w/ bluknight	https://soundcloud.com/noeldac/expectations-w-bluknight?in=yourparadis/sets/jazzhip7c	RYCE	https://soundcloud.com/noeldac	541K	2:53
Moody's mood for love	https://soundcloud.com/jennuarjennuary/moodys-mood-for-love-cover?in=yourparadis/sets/jazzhip7c	Jaeeun	https://soundcloud.com/jennuarjennuary	494K	2:57
she likes me but i dont like her back.	https://soundcloud.com/lilpolearm/she-likes-me-but-i-dont-like-her-back?in=yourparadis/sets/jazzhip7c	halberd	https://soundcloud.com/lilpolearm	1.03M	2:18
ps ychop åt h (prod. JP)	https://soundcloud.com/sokodomo/ps-ychop-at-h-prod-jp?in=yourparadis/sets/jazzhip7c	sokodomo	https://soundcloud.com/sokodomo	467K	3:35
Q the trumpet - Worth Being Loved[DEMO]	https://soundcloud.com/q_the_trumpet/q-the-trumpet-worth-being-loveddemo?in=yourparadis/sets/jazzhip7c	Q_the_Trumpet	https://soundcloud.com/q_the_trumpet	391K	3:39
lemon tea	https://soundcloud.com/s-ilo/lemon-tea?in=yourparadis/sets/jazzhip7c	S-ilo	https://soundcloud.com/s-ilo	521K	3:05
sundown	https://soundcloud.com/draffish/sundown?in=yourparadis/sets/jazzhip7c	draf	https://soundcloud.com/draffish	413K	2:14
Latte Boy (w/ Clavita)	https://soundcloud.com/elijahleebeats/goon-latte-boy-prod-by-groovyboy?in=yourparadis/sets/jazzhip7c	Elijah Lee	https://soundcloud.com/elijahleebeats	467K	3:02
chuckee. - i've done this beat way too many times	https://soundcloud.com/awgeezrick/chuckee-ive-done-this-beat-way-too-many-times?in=yourparadis/sets/jazzhip7c	AwGeezRick	https://soundcloud.com/awgeezrick	516K	3:11
Santa Needs Some Whiskey Before His Job	https://soundcloud.com/sehooninseoul/santa-needs-some-whiskey-before-his-job?in=yourparadis/sets/jazzhip7c	sehooninseoul	https://soundcloud.com/sehooninseoul	490K	14:18
Oh How Lovely	https://soundcloud.com/jaypalace/oh-how-lovely-1?in=yourparadis/sets/jazzhip7c	JaY PaLaCe	https://soundcloud.com/jaypalace	363K	2:00
私は、楊花(ヤンファ)大橋が嫌いです	https://soundcloud.com/inueatmuffin/n9itilv9gkew?in=yourparadis/sets/jazzhip7c	Inu(いぬ)	https://soundcloud.com/inueatmuffin	394K	3:09
jazz limbz (Prod. Lazy Lewis)	https://soundcloud.com/hujili/jazzlimbz?in=yourparadis/sets/jazzhip7c	Hujili	https://soundcloud.com/hujili	363K	2:51
suey	https://soundcloud.com/homeworksound/suey?in=yourparadis/sets/jazzhip7c	homework	https://soundcloud.com/homeworksound	350K	2:54
a l o n e	https://soundcloud.com/nawhij/a-l-o-n-e?in=yourparadis/sets/jazzhip7c	nawhij(나우히즈)	https://soundcloud.com/nawhij	418K	2:37
cigaretteplease	https://soundcloud.com/fs5hagnkzsq8/cigaretteplease-doshe?in=yourparadis/sets/jazzhip7c	Doshe	https://soundcloud.com/fs5hagnkzsq8	415K	2:05
Ashes	https://soundcloud.com/xt3chniqs/ashes?in=yourparadis/sets/jazzhip7c	Rythmatical	https://soundcloud.com/xt3chniqs	426K	3:15
bloom	https://soundcloud.com/chilllly/bloom?in=yourparadis/sets/jazzhip7c	이재철	https://soundcloud.com/chilllly	388K	2:15
EarlJam - Wishing [Jazz Hop]	https://soundcloud.com/earljam-au/earljam-wishing-jazz-hop?in=yourparadis/sets/jazzhip7c	EarlJam	https://soundcloud.com/earljam-au	329K	2:49
Coffy - Silky	https://soundcloud.com/coffymusic/coffy-silky?in=yourparadis/sets/jazzhip7c	Coffy	https://soundcloud.com/coffymusic	156K	1:51
summer nights	https://soundcloud.com/hentaidesuka/eguchi-hisashi?in=yourparadis/sets/jazzhip7c	hentaidesu	https://soundcloud.com/hentaidesuka	323K	2:05
